table_name,match_count,unmatch_count,,,,
AMS202_HEAT_ADD_MAT,207593,20644,history loaded,,,
AMS206_MELT_DATA,1,4599,,,,
AMS207_SAMPLE_ANALYSE,14877,8,ok,,,
AMS218_STEEL_TEMP,30924,51,ok,,,
AMS220_STEEL_YIELD,4445,156,ok,,,
AMS237_SCRAP_DATA_CGS,152,4167167,pk list changed and history loaded,,,AMS243_CUTTING_DATA_CGS
AMS242_SLAB_DATA_MPS,0,16587,,,,AMS202_HEAT_ADD_MAT
AMS243_CUTTING_DATA_CGS,3852,9756,primary key required,,,AMS206_MELT_DATA
AMS245_GRINDER_LOG_HCG,806106,24796,,,,AMS237_SCRAP_DATA_CGS
AMS247_GRINDING_DATA_HCG,7514,5249,mismatch due to null value primary key,,,AMS245_GRINDER_LOG_HCG
AMS248_GRINDING_WHEEL_HCG,1398,121,mismatch due to null value primary key,,,AMS254_SLAB_DELIVERY_CGS
AMS254_SLAB_DELIVERY_CGS,0,8038,,,,AMS271_OPC_SIGNAL
AMS263_VAIQ_PARAM_CCM,472,159,null primary key,,,AMS271_OPC_SIGNAL
AMS271_OPC_SIGNAL,28719,278254,,,,AMS295_QDB_CPOINTVALUE
AMS295_QDB_CPOINTVALUE,1282531,324,,,,AMS300_QDB_SLAB
AMS300_QDB_SLAB,134,9,,,,AMS363_ECS_HEATTIMESTEPVALUE
AMS302_PDA_COMPONENTS,339,2780,,,,AMS312_PDA_STATCOMPOUNDS
AMS303_PDA_COMPOUNDINCLUSIONS,1420262,8469580,,,,AMS313_PDA_STATELEMENTS
AMS304_PDA_DIAMETERS,4614054,119,AMS302_PDA_COMPONENTS,,,AMS351_AOD_STOCKPILECONTANA
AMS305_PDA_ENDRESULT,1,30306,AMS303_PDA_COMPOUNDINCLUSIONS,,,AMS360_ECS_HEATGUNNING
AMS312_PDA_STATCOMPOUNDS,481649,918,AMS304_PDA_DIAMETERS,,,
AMS313_PDA_STATELEMENTS,12487,409758,AMS305_PDA_ENDRESULT,,,
AMS333_LFS_STOCKPILECONTANA,178187,78135,AMS333_LFS_STOCKPILECONTANA,,,
AMS334_LFS_STOCKPLECONTENTGRP,3274,10,AMS334_LFS_STOCKPLECONTENTGRP,,,
AMS351_AOD_STOCKPILECONTANA,2842664,2384,AMS352_AOD_STOCKPLECONTENTGRP,,,
AMS352_AOD_STOCKPLECONTENTGRP,8561,118,AMS362_ECS_HEATTIMESTEP,,,
AMS360_ECS_HEATGUNNING,7314,95,AMS364_ECS_SHIFTREPORT,,,
AMS362_ECS_HEATTIMESTEP,1603021,2464,AMS371_ECS_SIGNALTIMESTEP,,,
AMS363_ECS_HEATTIMESTEPVALUE,8998077,328,AMS375_ECS_HEAT_VALUE2,,,
AMS364_ECS_SHIFTREPORT,3036,63,AMS376_SYL2_ALARM,,,
AMS371_ECS_SIGNALTIMESTEP,2107113,2,AMS380_SYL2_ASSIGNMENT,,,
AMS375_ECS_HEAT_VALUE2,359550,674,AMS386_SYL2_BATCH,,,
AMS376_SYL2_ALARM,5,9,AMS392_SYL2_CARRIER,,,
AMS380_SYL2_ASSIGNMENT,8802,825,AMS395_SYL2_FAILCONNLOG,,,
AMS386_SYL2_BATCH,3292,32,AMS396_SYL2_MILLARTICLE,,,
AMS392_SYL2_CARRIER,7,19,AMS407_SYL2_STOREPOS,,,
AMS395_SYL2_FAILCONNLOG,8903,297,AMS409_SYL2_VEHICLE,,,
AMS396_SYL2_MILLARTICLE,2788,484,,,,
AMS407_SYL2_STOREPOS,28,1,,,,
AMS409_SYL2_VEHICLE,1,5,,,,
